## 训练轨迹跟踪任务

[00081920] reward=-18.8 completion=1.2% | CRASH:92%, DEVIATE:8%
[00163840] reward=-18.7 completion=1.5% | CRASH:82%, DEVIATE:18%
[00245760] reward=-18.6 completion=1.8% | CRASH:82%, DEVIATE:18%
[00327680] reward=-18.3 completion=2.4% | CRASH:82%, DEVIATE:18%
[00409600] reward=-18.3 completion=3.1% | DEVIATE:34%, CRASH:66%
[00491520] reward=-17.9 completion=4.0% | CRASH:74%, DEVIATE:26%
[00573440] reward=-17.7 completion=4.8% | CRASH:62%, DEVIATE:38%
[00655360] reward=-17.2 completion=6.0% | CRASH:67%, DEVIATE:33%
[00737280] reward=-17.2 completion=6.6% | DEVIATE:49%, CRASH:51%
[00819200] reward=-16.7 completion=7.6% | CRASH:57%, DEVIATE:43%
[00901120] reward=-16.7 completion=7.8% | DEVIATE:53%, CRASH:47%
[00983040] reward=-16.0 completion=9.1% | DEVIATE:60%, CRASH:40%
[01064960] reward=-15.8 completion=9.2% | CRASH:52%, DEVIATE:48%
[01146880] reward=-15.7 completion=9.9% | DEVIATE:49%, CRASH:51%
[01228800] reward=-15.4 completion=10.2% | CRASH:35%, DEVIATE:65%
[01310720] reward=-15.3 completion=11.0% | CRASH:49%, DEVIATE:51%
[01392640] reward=-15.2 completion=10.7% | DEVIATE:75%, CRASH:25%
[01474560] reward=-14.5 completion=11.2% | CRASH:34%, DEVIATE:66%
[01556480] reward=-14.3 completion=11.1% | DEVIATE:70%, CRASH:30%
[01638400] reward=-14.0 completion=12.4% | DEVIATE:74%, CRASH:26%
[01720320] reward=-14.0 completion=12.0% | CRASH:28%, DEVIATE:72%
[01802240] reward=-14.0 completion=11.5% | CRASH:22%, DEVIATE:78%
[01884160] reward=-13.7 completion=11.7% | DEVIATE:70%, CRASH:30%
[01966080] reward=-13.1 completion=12.9% | DEVIATE:79%, CRASH:21%
[02048000] reward=-12.5 completion=13.8% | CRASH:26%, DEVIATE:74%
[02129920] reward=-12.6 completion=13.0% | DEVIATE:75%, CRASH:25%
[02211840] reward=-12.5 completion=13.0% | DEVIATE:76%, CRASH:24%
[02293760] reward=-11.9 completion=13.6% | CRASH:22%, DEVIATE:78%
[02375680] reward=-11.5 completion=15.2% | DEVIATE:76%, CRASH:24%
[02457600] reward=-11.7 completion=14.4% | DEVIATE:80%, CRASH:20%
[02539520] reward=-10.6 completion=15.5% | DEVIATE:81%, CRASH:19%
[02621440] reward=-10.9 completion=15.3% | DEVIATE:79%, CRASH:21%
[02703360] reward=-9.8 completion=17.2% | DEVIATE:84%, CRASH:16%
[02785280] reward=-10.8 completion=16.1% | DEVIATE:77%, CRASH:23%
[02867200] reward=-10.5 completion=15.8% | DEVIATE:77%, CRASH:23%
[02949120] reward=-10.2 completion=16.3% | DEVIATE:73%, CRASH:27%
[03031040] reward=-10.4 completion=16.4% | DEVIATE:81%, CRASH:19%
[03112960] reward=-10.1 completion=17.9% | DEVIATE:76%, CRASH:24%
[03194880] reward=-9.4 completion=18.9% | DEVIATE:86%, CRASH:14%
[03276800] reward=-9.6 completion=17.6% | DEVIATE:78%, CRASH:22%
[03358720] reward=-9.1 completion=18.3% | DEVIATE:78%, CRASH:22%
[03440640] reward=-8.3 completion=21.3% | CRASH:28%, DEVIATE:72%
[03522560] reward=-8.6 completion=21.2% | DEVIATE:75%, CRASH:25%
[03604480] reward=-9.0 completion=20.0% | DEVIATE:75%, CRASH:25%
[03686400] reward=-8.3 completion=20.7% | DEVIATE:79%, CRASH:21%
[03768320] reward=-8.0 completion=22.6% | CRASH:26%, DEVIATE:74%
[03850240] reward=-7.3 completion=23.1% | DEVIATE:69%, CRASH:31%
[03932160] reward=-7.0 completion=22.8% | DEVIATE:69%, CRASH:31%
[04014080] reward=-7.0 completion=23.9% | DEVIATE:69%, CRASH:31%
[04096000] reward=-6.6 completion=24.3% | DEVIATE:72%, CRASH:28%
[04177920] reward=-7.3 completion=21.7% | CRASH:35%, DEVIATE:65%
[04259840] reward=-6.3 completion=26.0% | DEVIATE:73%, CRASH:27%
[04341760] reward=-6.8 completion=23.4% | CRASH:45%, DEVIATE:55%
[04423680] reward=-5.7 completion=27.4% | DEVIATE:70%, CRASH:30%
[04505600] reward=-3.7 completion=30.3% | DEVIATE:60%, CRASH:40%
[04587520] reward=-3.7 completion=30.5% | DEVIATE:68%, CRASH:32%
[04669440] reward=-2.5 completion=30.8% | CRASH:33%, DEVIATE:66%, SUCCESS:1%
[04751360] reward=-1.6 completion=32.7% | DEVIATE:70%, CRASH:30%
[04833280] reward=1.3 completion=35.3% | DEVIATE:70%, CRASH:29%, SUCCESS:1%
[04915200] reward=5.7 completion=40.4% | DEVIATE:68%, CRASH:28%, SUCCESS:4%
[04997120] reward=2.8 completion=38.6% | DEVIATE:71%, CRASH:28%, SUCCESS:1%
[05079040] reward=6.2 completion=39.5% | CRASH:30%, DEVIATE:67%, SUCCESS:3%
[05160960] reward=12.2 completion=42.5% | DEVIATE:68%, SUCCESS:6%, CRASH:26%
[05242880] reward=10.0 completion=42.7% | DEVIATE:67%, CRASH:28%, SUCCESS:5%
[05324800] reward=16.2 completion=49.5% | DEVIATE:66%, SUCCESS:7%, CRASH:27%
[05406720] reward=15.4 completion=46.6% | DEVIATE:63%, CRASH:30%, SUCCESS:7%
[05488640] reward=27.8 completion=54.4% | DEVIATE:52%, CRASH:35%, SUCCESS:13%
[05570560] reward=30.3 completion=57.8% | DEVIATE:61%, SUCCESS:15%, CRASH:24%
[05652480] reward=25.9 completion=51.8% | DEVIATE:61%, CRASH:26%, SUCCESS:13%
[05734400] reward=41.7 completion=63.2% | CRASH:28%, DEVIATE:52%, SUCCESS:20%
[05816320] reward=31.5 completion=58.8% | DEVIATE:60%, SUCCESS:13%, CRASH:27%
[05898240] reward=52.2 completion=65.6% | SUCCESS:25%, CRASH:35%, DEVIATE:40%
[05980160] reward=55.5 completion=67.0% | DEVIATE:49%, CRASH:23%, SUCCESS:28%
[06062080] reward=56.4 completion=68.4% | SUCCESS:29%, CRASH:22%, DEVIATE:49%
[06144000] reward=69.6 completion=70.6% | CRASH:24%, SUCCESS:36%, DEVIATE:40%
[06225920] reward=69.3 completion=70.6% | DEVIATE:44%, SUCCESS:37%, CRASH:19%
[06307840] reward=83.6 completion=76.6% | CRASH:15%, SUCCESS:46%, DEVIATE:39%
[06389760] reward=86.2 completion=78.4% | SUCCESS:48%, CRASH:18%, DEVIATE:34%
[06471680] reward=89.1 completion=79.4% | SUCCESS:48%, DEVIATE:33%, CRASH:19%
[06553600] reward=83.6 completion=78.8% | DEVIATE:34%, SUCCESS:45%, CRASH:21%
[06635520] reward=99.7 completion=82.4% | CRASH:22%, DEVIATE:24%, SUCCESS:54%
[06717440] reward=100.1 completion=81.6% | SUCCESS:57%, CRASH:18%, DEVIATE:25%
[06799360] reward=112.6 completion=86.6% | DEVIATE:26%, SUCCESS:64%, CRASH:10%
[06881280] reward=95.2 completion=78.8% | SUCCESS:54%, DEVIATE:34%, CRASH:12%
[06963200] reward=106.2 completion=82.9% | SUCCESS:61%, DEVIATE:33%, CRASH:6%
[07045120] reward=117.4 completion=87.4% | SUCCESS:68%, DEVIATE:22%, CRASH:10%
[07127040] reward=117.2 completion=87.4% | SUCCESS:67%, DEVIATE:20%, CRASH:13%
[07208960] reward=130.9 completion=92.0% | SUCCESS:77%, DEVIATE:19%, CRASH:4%
[07290880] reward=123.6 completion=90.0% | SUCCESS:73%, DEVIATE:18%, CRASH:9%
[07372800] reward=120.9 completion=90.2% | SUCCESS:72%, DEVIATE:21%, CRASH:7%
